16:32:48 - Starting servent [32|localhost|1120]
16:32:48 - Pausing for 20000 ms
16:32:49 - Sending message [32|1120|0||NEW_NODE|1100|28]
16:32:50 - Got message [28|1100|0||WELCOME|1120|32]
16:32:52 - Sending message [32|1120|1||UPDATE|1100|28]
16:32:52 - Got message [32|1120|1|1100|UPDATE|1120|32]
16:32:57 - Got message [28|1100|7||ALIVE|1120|32]
16:32:57 - Sending message [32|1120|6||ALIVE|1100|28]
16:32:58 - Got message [36|1140|8|1100|UPDATE|1120|32]
16:32:59 - Sending message [36|1140|8|1100,1120|UPDATE|1140|36]
16:32:59 - Got message [40|1160|0||NEW_NODE|1120|32]
16:33:00 - Sending message [40|1160|9||NEW_NODE|1140|36]
16:33:04 - Got message [40|1160|14|1100|UPDATE|1120|32]
16:33:05 - Sending message [40|1160|14|1100,1120|UPDATE|1140|36]
16:33:08 - --------Requesting critical section...
16:33:08 - Got message [44|1180|21|1100|UPDATE|1120|32]
16:33:09 - Sending message [44|1180|22|1100,1120|UPDATE|1140|36]
16:33:09 - Sending message [32|1120|20||QUORUM_REQUEST|1140|36]
16:33:09 - Sending message [32|1120|21||QUORUM_REQUEST|1100|28]
16:33:10 - Got message [28|1100|23||QUORUM_REQUEST|1120|32]
16:33:10 - Got message [36|1140|14|LOCKED|QUORUM_RESPONSE|1120|32]
16:33:11 - Got message [28|1100|25|UNLOCKED|QUORUM_RESPONSE|1120|32]
16:33:11 - Sending message [32|1120|23|UNLOCKED|QUORUM_RESPONSE|1100|28]
16:33:11 - Got message [28|1100|28||QUORUM_REQUEST|1120|32]
16:33:12 - Sending message [32|1120|26||QUORUM_REQUEST|1140|36]
16:33:12 - Sending message [32|1120|27||QUORUM_REQUEST|1100|28]
16:33:12 - Got message [36|1140|19|LOCKED|QUORUM_RESPONSE|1120|32]
16:33:13 - Sending message [32|1120|29|UNLOCKED|QUORUM_RESPONSE|1100|28]
16:33:13 - Got message [28|1100|32|UNLOCKED|QUORUM_RESPONSE|1120|32]
16:33:13 - --------Critical section starting...
16:33:13 - --------Requesting critical section...
16:33:14 - Sending message [32|1120|31|22:test.txt,private,32|PUT|1140|36]
16:33:14 - Got message [28|1100|34||QUORUM_REQUEST|1120|32]
16:33:14 - Got message [36|1140|21||QUORUM_REQUEST|1120|32]
16:33:14 - Sending message [32|1120|33||QUORUM_REQUEST|1100|28]
16:33:14 - Sending message [32|1120|32||QUORUM_REQUEST|1140|36]
16:33:15 - Sending message [32|1120|35|UNLOCKED|QUORUM_RESPONSE|1140|36]
16:33:15 - Got message [36|1140|25|UNLOCKED|QUORUM_RESPONSE|1120|32]
16:33:15 - Got message [28|1100|39|UNLOCKED|QUORUM_RESPONSE|1120|32]
16:33:15 - Sending message [32|1120|34|UNLOCKED|QUORUM_RESPONSE|1100|28]
16:33:15 - --------Critical section starting...
16:33:15 - --------Requesting critical section...
16:33:16 - Got message [36|1140|31||QUORUM_REQUEST|1120|32]
16:33:16 - Sending message [32|1120|39|40:testTwo.txt,public,32|PUT|1140|36]
16:33:16 - Sending message [32|1120|41||QUORUM_REQUEST|1100|28]
